category;title;price;available_quantity;sold_quantity;permalink
chromecast;Google Chromecast 3rd Generation  Full Hd  Carbón;5790;9;10;https://www.mercadolibre.com.ar/google-chromecast-3rd-generation-full-hd-carbon/p/MLA13841393
chromecast;Google Chromecast Ultra  4k  Negro Con Memoria Ram De 1gb;14500;998;21;https://www.mercadolibre.com.ar/google-chromecast-ultra-4k-negro-con-memoria-ram-de-1gb/p/MLA6304839
chromecast;Google Chromecast 1st Generation H2g2-42  Full Hd 2gb  Negro Con Memoria Ram De 512mb;4999;79;40;https://www.mercadolibre.com.ar/google-chromecast-1st-generation-h2g2-42-full-hd-2gb-negro-con-memoria-ram-de-512mb/p/MLA6125043
chromecast;Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente;5819;50;5000;https://articulo.mercadolibre.com.ar/MLA-782706781-google-chromecast-3-generacion-nuevo-en-caja-hdmi-c-fuente-_JM
chromecast;Google Chromecast 3 Generacion Smart Tv Usb Caja Original;5789;50;500;https://articulo.mercadolibre.com.ar/MLA-759895299-google-chromecast-3-generacion-smart-tv-usb-caja-original-_JM
chromecast;Google Chromecast 3 Generacion Tv Hdmi En Caja 100% Original;5809;100;500;https://articulo.mercadolibre.com.ar/MLA-770830113-google-chromecast-3-generacion-tv-hdmi-en-caja-100-original-_JM
chromecast;Google Chromecast 3 Generacion Nuevo En Caja Hdmi + Usb;7290;50;500;https://articulo.mercadolibre.com.ar/MLA-825357651-google-chromecast-3-generacion-nuevo-en-caja-hdmi-usb-_JM
chromecast;Google Chromecast 3 Original 100% Smart Tv Hdmi Garantia 1 Año Y Factura;5749;100;5000;https://articulo.mercadolibre.com.ar/MLA-625783367-google-chromecast-3-original-100-smart-tv-hdmi-garantia-1-ano-y-factura-_JM
chromecast;Chromecast 3era Generación 2019 Hdmi Netflix Smart Tv;5899;1;500;https://articulo.mercadolibre.com.ar/MLA-618673320-chromecast-3era-generacion-2019-hdmi-netflix-smart-tv-_JM
chromecast;Google Chromecast 3 Generacion 1080p Caja 100% Original;5779;50;500;https://articulo.mercadolibre.com.ar/MLA-746583594-google-chromecast-3-generacion-1080p-caja-100-original-_JM
chromecast;Google Chrome Cast 3 Gen Hdmi Wifi Dual Chromecast S/fuente;6990;1;500;https://articulo.mercadolibre.com.ar/MLA-625266460-google-chrome-cast-3-gen-hdmi-wifi-dual-chromecast-sfuente-_JM
chromecast;Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Fuente;5779;150;500;https://articulo.mercadolibre.com.ar/MLA-759911380-google-chromecast-3-nuevo-smart-tv-hdmi-netflix-caja-fuente-_JM
chromecast;Google Chromecast 3 Smart Tv Hdmi Wifi Fuente Original;6150;1;500;https://articulo.mercadolibre.com.ar/MLA-718785259-google-chromecast-3-smart-tv-hdmi-wifi-fuente-original-_JM
chromecast;Google Chromecast 3 Generacion Nuevo En Caja Hdmi Sin Fuente;5739;50;500;https://articulo.mercadolibre.com.ar/MLA-782706893-google-chromecast-3-generacion-nuevo-en-caja-hdmi-sin-fuente-_JM
chromecast;Google Chromecast Smart Tv Usb Wifi Hdmi Android Stream;5799;50;50;https://articulo.mercadolibre.com.ar/MLA-618931366-google-chromecast-smart-tv-usb-wifi-hdmi-android-stream-_JM
chromecast;Google Chromecast 3 Generacion Original En Caja Hdmi Usb;5799;1;500;https://articulo.mercadolibre.com.ar/MLA-762401890-google-chromecast-3-generacion-original-en-caja-hdmi-usb-_JM
chromecast;Google Chromecast 3 Nuevo Smart Tv Hdmi Netflix Caja Usb;5739;250;500;https://articulo.mercadolibre.com.ar/MLA-773339747-google-chromecast-3-nuevo-smart-tv-hdmi-netflix-caja-usb-_JM
chromecast;Convertidor Smart Tv Google Apps + Netflix Flow Spotify Y Mas App + Envios !!;5899;1;5;https://articulo.mercadolibre.com.ar/MLA-800925844-convertidor-smart-tv-google-apps-netflix-flow-spotify-y-mas-app-envios--_JM
chromecast;Google Chromecast 3 Generacion Original En Caja Hdmi Usb;5719;50;500;https://articulo.mercadolibre.com.ar/MLA-676220156-google-chromecast-3-generacion-original-en-caja-hdmi-usb-_JM
chromecast;Google Chromecast 3 2019 Caja Sellada + Adaptador Ade Ramos;6999;1;25;https://articulo.mercadolibre.com.ar/MLA-785515482-google-chromecast-3-2019-caja-sellada-adaptador-ade-ramos-_JM
